ISBN,name,keyword,category
P1412150003,一榮-調味干貝,一榮/調味料\調味醬\調料,休閒食品
P1511110019,泰國ＢＥＮＴＯ-超味魷魚(香辣紅色三入組),Bento/泰國零食\魷魚片,休閒食品
P1702060008,Bourbon北日本-愛麗絲草莓捲心酥144g,/連假,休閒食品
P1511180002,林永泰興-化應子,,休閒食品
P1908230015,一榮食品-起士家族起士條150g,/進口食品\一榮食品\起士家族\起士條\日本,休閒食品
P1509100029,寶製菓-快樂家族圖形餅乾,寶製菓/零食\餅乾,休閒食品
P1909190016,韓國Enaak小雞點心麵(激辣/辣味/原味),/韓國\點心麵\小雞麵,休閒食品
P1409120009,真的是蝦子的蝦酥,休閒零食/蝦酥,休閒食品
P1508160013,FLORA-阿庇諾85%生巧克力,FLORA/阿庇諾\巧克力\生巧克力,休閒食品
P1410150004,樂天維他命Ｃ糖買2送1 10/15,LOTTE/樂天\維他命\維他命C,休閒食品
P1610190012,味覺糖- 萬聖節限定噗啾綜合軟糖-[附玩具]65g,/,休閒食品
P1810030003,Bourbon北日本-愛麗絲抹茶捲心酥144g,/零食\餅乾\日本零食\抹茶,休閒食品
P1410090031,竹山番薯乾麵風味麻醬(六入),森林麵食/泡麵\快煮面\乾拌麵\乾麵,休閒食品
P1907170010,Himeji-鹽檸檬酸葡萄糖40g,/鹽\檸檬酸\葡萄糖\糖果\日本食品\中元搶先GO,休閒食品
P1511110014,泰國８６３－瑪莎曼咖哩調理包,泰式料理/調理包\咖哩\即時料理,休閒食品
P2005060013,土耳其 Today可頌麵包45g(巧克力味),/點心\酥皮,休閒食品
P1912310009,舊李合興蜜餞-烏沉梅,/舊李合興\蜜餞\烏梅\梅子,休閒食品
P1606010024,Drip Coffee摩卡咖啡豆(一磅),咖啡/咖啡\咖啡豆\炭燒咖啡,休閒食品
P1405150003,抹茶麻糬巧克力,日本零食/零食\巧克力\抹茶,休閒食品
P1708040179,固力果Pretz-沙拉棒(9袋),/中元搶先GO\沙拉餅乾\餅乾棒\午茶時光\連假零食,休閒食品
P1702060009,帆船香草巧克力餅乾171.7g,/,休閒食品
P1503200003,名糖-袋裝甜點巧克力,Meito/名糖\零食\糖果\巧克力,休閒食品
P1410170019,你滋美得-天然濃縮大蒜精,保健食品/身體保養\健康食品\保健品,休閒食品
P1810310007,任選五入-小浣熊烤海苔片(焦糖原味/辣味可選),/海苔\海苔片\海苔捲\踩蛋\egg\111\1111活動\光棍節,休閒食品
P1508100010,安堡-地瓜酥&菜脯酥,安堡/地瓜酥\菜脯酥,休閒食品
P1407240013,愛情靈藥,品台灣/馬卡龍,休閒食品
P1501100012,華果堂-圈圈捲爆漿牛軋糖蛋捲(抹茶12小支/盒),華果堂/蛋捲\牛軋糖,休閒食品
P1606010029,Drip Coffee 曼特寧咖啡濾掛包（10包）,咖啡/咖啡\咖啡豆\炭燒咖啡,休閒食品
P1502120013,鷹牌脆片巧克力-草莓,鷹牌/零食\巧克力脆片,休閒食品
P1504190004,綿花堂-杯子棉花糖(草莓),棉花堂/棉花糖,休閒食品
P1809260004,丸美屋 香菇時蔬雞肉-即食微波飯230g,/微波食品\即食調理包\調理包,休閒食品
P1510280043,韓國元祖辣年糕餅乾(3入組),HAITAI /海太\零食\餅乾\年糕餅乾,休閒食品
P1405160006,綜合麻糬草莓巧克力,松尾/零食\巧克力\麻糬,休閒食品
P1809190018,韓國不倒翁OTTOGI 烏龍拉麵 海鮮風味,/泡麵\方便麵\拉麵\韓國泡麵,休閒食品
P1601130027,法奇歐尼-義大利莊園冷壓初榨橄欖油尊爵禮盒(C版),Farchioni /法奇歐尼\橄欖油\義大利油\油,休閒食品
P1410090012,幸福莓滿_椰棗夾杏仁＋蔓越莓,幸福莓滿/椰棗\杏仁\蔓越莓\堅果,休閒食品
P1410170007,克朗奇經典原味爽脆泡芙,CRUNCHY/克朗奇\泡芙\點心,休閒食品
P1604200035,波蘭Terravita薄荷黑巧克力片,Terravita/零食\餅乾\巧克力,休閒食品
P1409120019,南非國寶茶果香系列-愛寶原味,FRESHPAK/茶\茶包\國寶茶,休閒食品
P1706080017,好麗友烘焙洋芋片（原味）８０ｇ,預感洋芋片/午茶時光\韓國\預感,休閒食品
P1610190011,味覺糖- 萬聖節限定綜合軟糖[附貼紙]45g,/,休閒食品
P2004220020,卡拉脆蝦(原味),/蝦子\餅乾\烘乾\零食\零嘴\下酒菜,休閒食品
P2005240001,生日快樂大乖乖桶720g,/糖果\分享桶,休閒食品
P1411010007,承昌素食咖哩拉麵,承昌/泡麵\快煮面\乾拌麵\乾麵\素食,休閒食品
P1501140008,東鳩-比諾豌豆脆條(蒜味奶油),Tohato/東鳩\零食\豌豆酥,休閒食品
P1804030007,ＨＡＥＭＡＴＴ　京畿道韓式照燒海苔,/,休閒食品
P1608010003,固力果-Pocky(藍莓果肉棒),餅乾棒/零食\午茶時光,休閒食品
